#  E (eV)   dos(E)     Int dos(E)
-25.526  0.3123E-81  0.2000E+01
-25.525  0.3123E-81  0.2000E+01
-25.525  0.3123E-81  0.2000E+01
-25.524  0.3123E-81  0.2000E+01
-25.524  0.3123E-81  0.2000E+01
-25.523  0.3123E-81  0.2000E+01
-25.523  0.3123E-81  0.2000E+01
-25.522  0.3123E-81  0.2000E+01
-25.522  0.3123E-81  0.2000E+01
-25.521  0.3123E-81  0.2000E+01
-25.521  0.3123E-81  0.2000E+01
-25.520  0.3123E-81  0.2000E+01
-25.520  0.3123E-81  0.2000E+01
-25.519  0.3123E-81  0.2000E+01
-25.519  0.3123E-81  0.2000E+01
-25.518  0.3123E-81  0.2000E+01
-25.518  0.3123E-81  0.2000E+01
-25.517  0.3123E-81  0.2000E+01
-25.517  0.3123E-81  0.2000E+01
-25.516  0.3123E-81  0.2000E+01
-25.516  0.3123E-81  0.2000E+01
-25.515  0.3123E-81  0.2000E+01
-25.515  0.3123E-81  0.2000E+01
-25.514  0.3123E-81  0.2000E+01
-25.514  0.3123E-81  0.2000E+01
-25.513  0.3123E-81  0.2000E+01
-25.513  0.3123E-81  0.2000E+01
-25.512  0.3123E-81  0.2000E+01
-25.512  0.3123E-81  0.2000E+01
-25.511  0.3123E-81  0.2000E+01
-25.511  0.3123E-81  0.2000E+01
-25.510  0.3123E-81  0.2000E+01
-25.510  0.3123E-81  0.2000E+01
-25.509  0.3123E-81  0.2000E+01
-25.509  0.3123E-81  0.2000E+01
-25.508  0.3123E-81  0.2000E+01
-25.508  0.3123E-81  0.2000E+01
-25.507  0.3123E-81  0.2000E+01
-25.507  0.3123E-81  0.2000E+01
-25.506  0.3123E-81  0.2000E+01
-25.506  0.3123E-81  0.2000E+01
-25.505  0.3123E-81  0.2000E+01
-25.505  0.3123E-81  0.2000E+01
-25.504  0.3123E-81  0.2000E+01
-25.504  0.3123E-81  0.2000E+01
-25.503  0.3123E-81  0.2000E+01
-25.503  0.3123E-81  0.2000E+01
-25.502  0.3123E-81  0.2000E+01
-25.502  0.3123E-81  0.2000E+01
-25.501  0.3123E-81  0.2000E+01
-25.501  0.3123E-81  0.2000E+01
-25.500  0.3123E-81  0.2000E+01
-25.500  0.3123E-81  0.2000E+01
-25.499  0.3123E-81  0.2000E+01
-25.499  0.3123E-81  0.2000E+01
-25.498  0.3123E-81  0.2000E+01
-25.498  0.3123E-81  0.2000E+01
-25.497  0.3123E-81  0.2000E+01
-25.497  0.3123E-81  0.2000E+01
-25.496  0.3123E-81  0.2000E+01
-25.496  0.3123E-81  0.2000E+01
-25.495  0.3123E-81  0.2000E+01
-25.495  0.3123E-81  0.2000E+01
-25.494  0.3123E-81  0.2000E+01
-25.494  0.3123E-81  0.2000E+01
-25.493  0.3123E-81  0.2000E+01
-25.493  0.3123E-81  0.2000E+01
-25.492  0.3123E-81  0.2000E+01
-25.492  0.3123E-81  0.2000E+01
-25.491  0.3123E-81  0.2000E+01
-25.491  0.3123E-81  0.2000E+01
-25.490  0.3123E-81  0.2000E+01
-25.490  0.3123E-81  0.2000E+01
-25.489  0.3123E-81  0.2000E+01
-25.489  0.3123E-81  0.2000E+01
-25.488  0.3123E-81  0.2000E+01
-25.488  0.3123E-81  0.2000E+01
-25.487  0.3123E-81  0.2000E+01
-25.487  0.3123E-81  0.2000E+01
-25.486  0.3123E-81  0.2000E+01
-25.486  0.3123E-81  0.2000E+01
-25.485  0.3123E-81  0.2000E+01
-25.485  0.3123E-81  0.2000E+01
-25.484  0.3123E-81  0.2000E+01
-25.484  0.3123E-81  0.2000E+01
-25.483  0.3123E-81  0.2000E+01
-25.483  0.3123E-81  0.2000E+01
-25.482  0.3123E-81  0.2000E+01
-25.482  0.3123E-81  0.2000E+01
-25.481  0.3123E-81  0.2000E+01
-25.481  0.3123E-81  0.2000E+01
-25.480  0.3123E-81  0.2000E+01
-25.480  0.3123E-81  0.2000E+01
-25.479  0.3123E-81  0.2000E+01
-25.479  0.3123E-81  0.2000E+01
-25.478  0.3123E-81  0.2000E+01
-25.478  0.3123E-81  0.2000E+01
-25.477  0.3123E-81  0.2000E+01
-25.477  0.3123E-81  0.2000E+01
-25.476  0.3123E-81  0.2000E+01
-25.476  0.3123E-81  0.2000E+01
-25.475  0.3123E-81  0.2000E+01
-25.475  0.3123E-81  0.2000E+01
-25.474  0.3123E-81  0.2000E+01
-25.474  0.3123E-81  0.2000E+01
-25.473  0.3123E-81  0.2000E+01
-25.473  0.3123E-81  0.2000E+01
-25.472  0.3123E-81  0.2000E+01
-25.472  0.3123E-81  0.2000E+01
-25.471  0.3123E-81  0.2000E+01
-25.471  0.3123E-81  0.2000E+01
-25.470  0.3123E-81  0.2000E+01
-25.470  0.3123E-81  0.2000E+01
-25.469  0.3123E-81  0.2000E+01
-25.469  0.3123E-81  0.2000E+01
-25.468  0.3123E-81  0.2000E+01
-25.468  0.3123E-81  0.2000E+01
-25.467  0.3123E-81  0.2000E+01
-25.467  0.3123E-81  0.2000E+01
-25.466  0.3123E-81  0.2000E+01
-25.466  0.3123E-81  0.2000E+01
-25.465  0.3123E-81  0.2000E+01
-25.465  0.3123E-81  0.2000E+01
-25.464  0.3123E-81  0.2000E+01
-25.464  0.3123E-81  0.2000E+01
-25.463  0.3123E-81  0.2000E+01
-25.463  0.3123E-81  0.2000E+01
-25.462  0.3123E-81  0.2000E+01
